gbifID,identifier,license,modified,references,rightsHolder,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,recordedBy,sex,lifeStage,occurrenceStatus,occurrenceRemarks,eventDate,eventTime,year,month,day,verbatimEventDate,countryCode,stateProvince,verbatimLocality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,identificationID,identifiedBy,dateIdentified,taxonID,scientificName,kingdom,phylum,class,order,family,genus,genericName,specificEpithet,taxonRank,taxonomicStatus,datasetKey,publishingCountry,lastInterpreted,elevation,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,iucnRedListCategory
3925176641,136111650,CC_BY_NC_4_0,2022-10-07T20:25:14Z,https://www.inaturalist.org/observations/136111650,arriamg,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/136111650,136111650,arriamg,,,PRESENT,Bugs on a light outside my house.,2022-09-22T20:28:00,20:28:00-04:00,2022,9,22,9/22/22 20:28,US,Virginia,"5833 25th Rd N, Arlington, VA 22207, USA",38.895982,-77.146741,184,303836965,Lorin Timaeus,2022-10-07T14:12:31,311582,"Drosophila suzukii (Matsumura, 1931)",Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila,suzukii,SPECIES,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-10-15T16:09:25.506Z,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5073820,5073820,1,54,216,811,5547,1522683,5073820,Drosophila suzukii,"Drosophila suzukii (Matsumura, 1931)",Drosophila suzukii,,DWC_ARCHIVE,2022-10-15T16:09:25.506Z,2022-10-15T10:30:21.264Z,FALSE,USA,United States,USA.47_1,Virginia,USA.47.8_1,Arlington,NE
3925152482,112173587,CC_BY_NC_4_0,2022-10-06T07:19:24Z,https://www.inaturalist.org/observations/112173587,kaypeace527,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/112173587,112173587,kaypeace527,,,PRESENT,,2022-04-20T13:49:12,13:49:12-04:00,2022,4,20,4/20/22 13:49,US,Georgia,"Morrow, GA 30260, USA",33.591296,-84.327695,6,251035233,kaypeace527,2022-04-20T18:53:46,311582,"Drosophila suzukii (Matsumura, 1931)",Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila,suzukii,SPECIES,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-10-15T15:30:15.661Z,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5073820,5073820,1,54,216,811,5547,1522683,5073820,Drosophila suzukii,"Drosophila suzukii (Matsumura, 1931)",Drosophila suzukii,,DWC_ARCHIVE,2022-10-15T15:30:15.661Z,2022-10-15T10:30:21.264Z,FALSE,USA,United States,USA.11_1,Georgia,USA.11.31_1,Clayton,NE
3925119665,136524375,CC_BY_NC_4_0,2022-10-06T05:43:48Z,https://www.inaturalist.org/observations/136524375,Cherie Cornmesser,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/136524375,136524375,Cherie Cornmesser,,,PRESENT,,2022-09-25T21:49:41,21:49:41-04:00,2022,9,25,9/25/22 21:49,US,Pennsylvania,"Verona Rd + Brinley, Penn Hills, PA 15147, USA",40.484129,-79.837342,,300712998,Cherie Cornmesser,2022-09-26T01:56:40,311582,"Drosophila suzukii (Matsumura, 1931)",Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila,suzukii,SPECIES,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-10-15T15:35:26.667Z,,,StillImage,TRUE,FALSE,5073820,5073820,1,54,216,811,5547,1522683,5073820,Drosophila suzukii,"Drosophila suzukii (Matsumura, 1931)",Drosophila suzukii,,DWC_ARCHIVE,2022-10-15T15:35:26.667Z,2022-10-15T10:30:21.264Z,FALSE,USA,United States,USA.39_1,Pennsylvania,USA.39.2_1,Allegheny,NE
3923706635,137517883,CC_BY_NC_4_0,2022-10-04T15:13:08Z,https://www.inaturalist.org/observations/137517883,Claire O'Neill,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/137517883,137517883,Claire O'Neill,MALE,Adult,PRESENT,,2022-09-11T22:46:00,22:46:00-04:00,2022,9,11,9/11/22 22:46,US,Massachusetts,"Spring Hill, Somerville, MA, USA",42.386536,-71.108419,1,303013047,Lorin Timaeus,2022-10-04T13:10:06,311582,"Drosophila suzukii (Matsumura, 1931)",Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila,suzukii,SPECIES,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-10-15T16:10:39.806Z,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5073820,5073820,1,54,216,811,5547,1522683,5073820,Drosophila suzukii,"Drosophila suzukii (Matsumura, 1931)",Drosophila suzukii,,DWC_ARCHIVE,2022-10-15T16:10:39.806Z,2022-10-15T10:30:21.264Z,FALSE,USA,United States,USA.22_1,Massachusetts,USA.22.9_1,Middlesex,NE
3915532807,136360110,CC_BY_NC_4_0,2022-09-25T23:11:41Z,https://www.inaturalist.org/observations/136360110,Bo Zaremba,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/136360110,136360110,Bo Zaremba,,,PRESENT,,2022-09-14T22:40:00,22:40:00-04:00,2022,9,14,9/14/22 22:40,US,Massachusetts,"Newburyport, MA 01950, USA",42.806245,-70.874443,190,300362084,Bo Zaremba,2022-09-25T00:17:49,311582,"Drosophila suzukii (Matsumura, 1931)",Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila,suzukii,SPECIES,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-10-15T16:09:03.707Z,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5073820,5073820,1,54,216,811,5547,1522683,5073820,Drosophila suzukii,"Drosophila suzukii (Matsumura, 1931)",Drosophila suzukii,,DWC_ARCHIVE,2022-10-15T16:09:03.707Z,2022-10-15T10:30:21.264Z,FALSE,USA,United States,USA.22_1,Massachusetts,USA.22.5_1,Essex,NE
3915518339,136228199,CC_BY_NC_4_0,2022-09-24T19:35:51Z,https://www.inaturalist.org/observations/136228199,Carol,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/136228199,136228199,Carol,,,PRESENT,Red eyes. A spot near the terminal end of each wing.,2022-09-23T14:35:00,14:35:00-04:00,2022,9,23,9/23/22 14:35,US,Maine,"Roque Bluffs, ME 04654, USA",44.598319,-67.460181,2,300104721,Carol,2022-09-24T01:49:00,311582,"Drosophila suzukii (Matsumura, 1931)",Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila,suzukii,SPECIES,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-10-15T16:06:33.287Z,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5073820,5073820,1,54,216,811,5547,1522683,5073820,Drosophila suzukii,"Drosophila suzukii (Matsumura, 1931)",Drosophila suzukii,,DWC_ARCHIVE,2022-10-15T16:06:33.287Z,2022-10-15T10:30:21.264Z,FALSE,USA,United States,USA.20_1,Maine,USA.20.15_1,Washington,NE
3915314724,135868352,CC_BY_NC_4_0,2022-09-21T05:21:12Z,https://www.inaturalist.org/observations/135868352,J Mollenhauer,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/135868352,135868352,J Mollenhauer,,,PRESENT,Attracted to UV light at night in a residential neighborhood.,2022-09-17T22:31:00,22:31:00-04:00,2022,9,17,9/17/22 22:31,US,New Jersey,"New Jersey, US",39.751324,-75.125634,28060,299299816,J Mollenhauer,2022-09-21T02:37:50,311582,"Drosophila suzukii (Matsumura, 1931)",Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila,suzukii,SPECIES,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-10-15T15:35:06.920Z,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5073820,5073820,1,54,216,811,5547,1522683,5073820,Drosophila suzukii,"Drosophila suzukii (Matsumura, 1931)",Drosophila suzukii,,DWC_ARCHIVE,2022-10-15T15:35:06.920Z,2022-10-15T10:30:21.264Z,FALSE,USA,United States,USA.31_1,New Jersey,USA.31.8_1,Gloucester,NE
3912149933,134534416,CC_BY_4_0,2022-09-23T17:50:06Z,https://www.inaturalist.org/observations/134534416,Randy A Nonenmacher,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/134534416,134534416,Randy A Nonenmacher,,,PRESENT,,2022-09-10T23:26:00,23:26:00-04:00,2022,9,10,9/10/22 23:26,US,New York,"Shepard Settlement, Onondaga County, NY, USA",42.991392,-76.370634,4,296386256,Randy A Nonenmacher,2022-09-11T04:19:02,311582,"Drosophila suzukii (Matsumura, 1931)",Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila,suzukii,SPECIES,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-10-15T16:06:55.038Z,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5073820,5073820,1,54,216,811,5547,1522683,5073820,Drosophila suzukii,"Drosophila suzukii (Matsumura, 1931)",Drosophila suzukii,,DWC_ARCHIVE,2022-10-15T16:06:55.038Z,2022-10-15T10:30:21.264Z,FALSE,USA,United States,USA.33_1,New York,USA.33.35_1,Onondaga,NE
3911975969,134256045,CC_BY_NC_4_0,2022-09-15T20:39:08Z,https://www.inaturalist.org/observations/134256045,Hunter,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/134256045,134256045,Hunter,,Adult,PRESENT,,2022-09-08T21:44:58,21:44:58-04:00,2022,9,8,2022-09-08 21:44:58-04:00,US,Indiana,"Purdue University, West Lafayette, IN, US",40.424755,-86.926467,48,295799459,Hunter,2022-09-09T02:58:30,311582,"Drosophila suzukii (Matsumura, 1931)",Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila,suzukii,SPECIES,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-10-15T16:05:45.473Z,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5073820,5073820,1,54,216,811,5547,1522683,5073820,Drosophila suzukii,"Drosophila suzukii (Matsumura, 1931)",Drosophila suzukii,,DWC_ARCHIVE,2022-10-15T16:05:45.473Z,2022-10-15T10:30:21.264Z,FALSE,USA,United States,USA.15_1,Indiana,USA.15.80_1,Tippecanoe,NE
3903280598,133352161,CC_BY_NC_4_0,2022-09-07T22:33:33Z,https://www.inaturalist.org/observations/133352161,Warren Lussier,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/133352161,133352161,Warren Lussier,,,PRESENT,,2022-09-02T12:40:39,12:40:39-04:00,2022,9,2,9/2/22 12:40,US,Vermont,United States,44.997058,-73.175668,27253,293863714,Warren Lussier,2022-09-02T16:43:58,311582,"Drosophila suzukii (Matsumura, 1931)",Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila,suzukii,SPECIES,ACCEPTED,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2022-10-15T16:05:59.955Z,,COORDINATE_ROUNDED,StillImage,TRUE,FALSE,5073820,5073820,1,54,216,811,5547,1522683,5073820,Drosophila suzukii,"Drosophila suzukii (Matsumura, 1931)",Drosophila suzukii,,DWC_ARCHIVE,2022-10-15T16:05:59.955Z,2022-10-15T10:30:21.264Z,FALSE,USA,United States,USA.46_1,Vermont,USA.46.6_1,Franklin,NE
